sample_id,sum_p_nominal_kw,sum_q_nominal_kvar,sum_p_realized_kw,sum_q_realized_kvar,P_loss_kw,Q_loss_kvar,res_p_kw,res_q_kvar,P_grid_nom,P_pv_nom,P_load_nom,Q_grid_nom,Q_pv_nom,Q_load_nom,Q_cap_nom,P_grid,P_pv,P_load,Q_grid,Q_pv,Q_load,Q_cap
0,0.0,0.0,75.13295193779516,-111.04373907335582,75.14367659544122,-111.04030122072292,-0.010724657646065339,-0.0034378526328993075,1200.399320034113,0.0,1200.399320034113,-122.47204598382484,0.0,627.5279540161752,750.0,983.555280355738,0.0,908.4223284179428,-392.78576653876667,0.0,477.44576078800003,759.1877882534109
1,0.0,0.0,302.5579442262044,75.40471448021708,302.5803696663575,75.39739741682067,-0.022425440153085674,0.007317063396413914,1591.9000373868394,319.95040096186324,1911.8504383487025,374.9216333761776,0.0,1124.9216333761776,750.0,2018.326460250266,300.50596230635927,2016.2744783304208,665.4535874795431,-0.0038684341702755775,1199.1338627907037,609.0888582255479
2,0.0,0.0,88.73675721907864,-99.83753009286448,88.70217044891189,-99.85046878702353,0.03458677016675438,0.012938694159046804,1325.4563119789889,0.0,1325.4563119789889,-87.66508576391743,0.0,662.3349142360826,750.0,1096.666933273011,0.0,1007.9301760539323,-338.96050099739983,0.0,505.82762181811324,744.9505927226486
3,0.0,0.0,47.0993882001884,-132.53260620628032,47.0887958982841,-132.5358898552075,0.01059230190430327,0.0032836489271801383,813.5839204380195,72.3797303335813,885.9636507716008,-27.44933866502629,0.0,722.5506613349737,750.0,733.752599448974,0.0,686.6532112487856,-350.96527594427334,0.0,561.7802779287757,780.2129476667687
4,0.0,0.0,118.6251318277009,-72.84598624897455,118.65227466025796,-72.83419260683146,-0.02714283255706107,-0.011793642143089755,1464.7396148737864,0.0,1464.7396148737864,89.74889242501592,0.0,839.7488924250159,750.0,1307.119378388644,0.0,1188.494246560943,-99.41607016254936,0.0,683.8890767570671,710.4591606706418
5,0.0,0.0,59.9852992691259,-122.3887573761146,59.960666340457855,-122.397016132174,0.024632928668047782,0.00825875605940496,1011.9511409924803,0.0,1011.9511409924803,-68.46841352698561,0.0,681.5315864730144,750.0,868.0475018323109,0.0,808.062202563185,-342.9509107527728,0.0,546.0668931222059,766.6290464988641
6,0.0,0.0,68.12012897668251,-103.6135030966741,68.13365297097512,-103.60803717134115,-0.013523994292611974,-0.005465925332941879,705.849233639439,711.4178055511152,1417.2670391905542,136.23453370665004,0.0,886.23453370665,750.0,816.0222786183676,713.9761415310784,1461.8782911727635,60.30385841266436,0.0015689198350578408,919.9234154658309,756.0044850366573
7,0.0,0.0,42.157722584548765,-129.82269635695138,42.1527732492027,-129.82886804284738,0.0049493353460619005,0.006171685895992596,527.4569239712184,890.9203140947816,1418.377238066,0.3972006741715859,0.0,750.3972006741716,750.0,507.90263711566917,903.0332956043192,1368.7782101354396,-205.36819156037805,-0.00491918552083871,729.9953244013441,805.5457387902916
8,0.0,0.0,327.3891859960786,87.7233158758138,327.39993556402897,87.70508179045694,-0.010749567950369965,0.018234085356851892,1878.2936879901795,0.0,1878.2936879901795,364.860523884151,0.0,1114.860523884151,750.0,2147.6638707922343,0.0,1820.2746847961557,576.4139749947051,0.0,1086.1408924165714,597.4502332976803
9,0.0,0.0,175.9748954991535,-17.139818533341895,175.95504576808935,-17.13262944548916,0.01984973106414145,-0.007189087852733422,1094.9383480735032,533.3635180844886,1628.3018661579918,115.90746165213602,0.0,865.907461652136,750.0,1503.5371227229216,512.7208114456479,1840.283038669416,290.48632887799107,0.005674293789462808,983.7605317837022,676.1287100785797
