node,mae_pu,rmse_pu,n_valid
l2860499.2,0.005157957784831524,0.006043777335435152,288
l3141394.2,0.0050905789248645306,0.005847418215125799,288
l2897784.2,0.005040598101913929,0.005949618294835091,288
l2801902.2,0.005031673703342676,0.005758157465606928,288
l2935567.2,0.005026465747505426,0.005881560035049915,288
l3139598.2,0.005025811027735472,0.006369501817971468,288
l2973150.1,0.005020087584853172,0.005673470441251993,288
l3179608.3,0.004994676914066076,0.005799757782369852,288
l2916619.2,0.004957364872097969,0.005685295909643173,288
l2766738.3,0.004951075185090303,0.005834481678903103,288
l3102793.2,0.004944007843732834,0.005669414531439543,288
l2991929.2,0.004938015714287758,0.005661804229021072,288
l2916617.2,0.004932718817144632,0.005657270550727844,288
l2729423.3,0.004927103407680988,0.005827477667480707,288
l2935547.2,0.004923532251268625,0.005646358709782362,288
l3235242.3,0.004913501441478729,0.005758278537541628,288
l3066804.1,0.004912118427455425,0.005600879900157452,288
l2897790.3,0.004903546534478664,0.005747214425355196,288
l3008237.3,0.004902385175228119,0.005816354416310787,288
l3254230.1,0.004895064979791641,0.005583309568464756,288
l3122835.2,0.004894791170954704,0.005609801504760981,288
l3160115.2,0.004892246797680855,0.005674207117408514,288
l2841641.2,0.004881136119365692,0.005602291785180569,288
l3118855.3,0.004880751017481089,0.005793514661490917,288
l3216370.1,0.004861895926296711,0.005858572665601969,288
l2785538.1,0.004861446097493172,0.00554338563233614,288
l3231255.3,0.00485687330365181,0.00579598406329751,288
l3104145.2,0.00485461950302124,0.0055719888769090176,288
l2820533.1,0.004853762686252594,0.005551062524318695,288
l3254231.1,0.004852849990129471,0.005550140514969826,288
l3176660.2,0.004852595739066601,0.005599663592875004,288
l3254227.2,0.004842170048505068,0.005578526295721531,288
l2897789.2,0.004839234985411167,0.005564585328102112,288
l3085410.2,0.004838410299271345,0.005652399733662605,288
l2804272.2,0.004835606086999178,0.005595636088401079,288
l0247171.2,0.0048304470255970955,0.0056556896306574345,288
l2726974.2,0.004830304067581892,0.005508951377123594,288
l3122825.1,0.004820279311388731,0.005857218522578478,288
l3178988.2,0.004819353111088276,0.005536533426493406,288
l2822873.2,0.004819123540073633,0.005535588134080172,288
l3066814.2,0.004818914458155632,0.005525222048163414,288
l2764403.1,0.004816634114831686,0.005507726687937975,288
l2842330.3,0.004814838524907827,0.0055968924425542355,288
l2897793.1,0.004811608232557774,0.005507604219019413,288
