sample_id,sum_p_nominal_kw,sum_q_nominal_kvar,sum_p_realized_kw,sum_q_realized_kvar,P_loss_kw,Q_loss_kvar,res_p_kw,res_q_kvar,P_grid_nom,P_pv_nom,P_load_nom,Q_grid_nom,Q_pv_nom,Q_load_nom,Q_cap_nom,P_grid,P_pv,P_load,Q_grid,Q_pv,Q_load,Q_cap
0,0.0,0.0,37.235902813021426,-142.0513051452116,37.2505446813459,-142.0436664811316,-0.014641868324474672,-0.007638664079991031,670.2522121230015,0.0,670.2522121230015,-367.4050292910159,0.0,382.5949707089841,750.0,619.7903685490023,-0.00013821499625919388,582.5543275209847,-57.084861886183106,-542.0845669087416,329.0525098030281,786.1706334527413
1,0.0,0.0,61.27252489500961,-114.14204551870728,61.27376876389915,-114.14310953398993,-0.0012438688895386463,0.0010640152826510985,435.6469846568739,655.9489248991615,1091.5959095560354,-104.37176139856626,0.0,645.6282386014337,750.0,631.6644204366128,631.6911053818839,1202.083000923487,295.27472223228415,-430.88998715237847,725.1725117348839,746.6457311362709
2,0.0,0.0,38.6037137707433,-140.53846890731512,38.61480581530086,-140.53326318001578,-0.011092044557564407,-0.005205727299340879,692.3176533579352,0.0,692.3176533579352,-352.67975566087233,0.0,397.32024433912767,750.0,643.7601344415469,-0.00030845342869815796,605.1561122173749,-40.07256874459439,-539.1835244344252,343.95269418674997,782.6703184584544
3,0.0,0.0,34.195938678018024,-144.31598644649006,34.200659366426784,-144.31337592719768,-0.004720688408760054,-0.002610519292375102,523.3148850088783,105.07117173479335,628.3860567436716,-349.5946079289733,0.0,400.4053920710267,750.0,583.999716785985,-1.8970615001308034e-06,549.8037762109055,-43.08766265664244,-542.9708350814709,346.88821902801175,788.6307303196351
4,0.0,0.0,45.76204633599946,-133.02365396945498,45.76444264561912,-133.02301358450455,-0.002396309619662418,-0.0006403849504295067,765.9224033087694,0.0,765.9224033087694,-301.4212710580987,0.0,448.5787289419013,750.0,742.5228750981826,-0.00023911654852645372,696.7605896456346,50.7655808913083,-544.729031975653,406.25065040297596,767.1904475178657
5,0.0,0.0,36.8102405327312,-141.60422850048764,36.811501296627576,-141.60364582919175,-0.0012607638963757495,-0.0005826712958878488,662.441059544464,0.0,662.441059544464,-337.908127047565,0.0,412.091872952435,750.0,625.8566904418509,-4.669219894321941e-05,589.0464032169208,-14.960906701869991,-545.7835634169147,363.604041756619,782.7442833749161
6,0.0,0.0,27.829380837548683,-144.2058128654358,27.82938740492489,-144.20573844664327,-6.567376207300413e-06,-7.441879253633488e-05,-447.7704839294619,1334.9877677325017,887.2172838030398,-221.23028251398955,0.0,528.7697174860104,750.0,388.02774434164667,567.9660198497266,928.1643833538246,163.3962726723692,-545.7843393534307,558.7568018028036,796.9390556184293
7,0.0,0.0,22.081593348072488,-152.02804623496553,22.081548819512893,-152.02809537420148,4.452855959513613e-05,4.913923595495362e-05,-385.6333571862252,1209.5709874953889,823.9376303091636,-274.9999607580796,0.0,475.0000392419204,750.0,276.3900535991575,567.9660163650501,822.2744766161351,54.3253506327601,-545.7844646675939,476.1635258304454,815.5945936303136
8,0.0,0.0,95.75154544477505,-91.58052589643682,95.74959817936059,-91.57685443141438,0.0019472654144578883,-0.003671465022449638,1021.7725691960491,0.0,1021.7725691960491,-148.68365937324734,0.0,601.3163406267527,750.0,1158.572914106788,4.5174872790198605e-05,1062.8214138368858,-171.53708231506363,-13.442164511470642,634.3946268798298,727.7933478099274
9,0.0,0.0,52.826826969924696,-121.83940777447867,52.827812325815444,-121.839851116048,-0.0009853558907479965,0.0004433415693227971,356.8374663205616,675.1767614521991,1032.0142277727607,-153.18669727575298,0.0,596.813302724247,750.0,554.2155503000479,649.0354225379062,1150.4241458680294,232.2045070359644,-433.4948571461048,678.352246681367,757.8031890170287
