node,mae_pu,rmse_pu,n_valid
l3217056.1,0.005487261805683374,0.006589076481759548,288
l3215203.1,0.005422975867986679,0.00669795973226428,288
l2915542.1,0.005376478191465139,0.006660760380327702,288
l3029502.1,0.005211284384131432,0.006219031754881144,288
l3217057.1,0.005208853632211685,0.006249730475246906,288
l2936270.1,0.005206311121582985,0.006129325367510319,288
l2896685.1,0.005179051775485277,0.00626034289598465,288
l2728247.1,0.005177771206945181,0.006369766313582659,288
l3101782.1,0.005162369925528765,0.006175307556986809,288
l2767340.1,0.005159919150173664,0.006147357169538736,288
l3139366.1,0.0051251729018986225,0.006204618606716394,288
l2823611.1,0.005116528365761042,0.005993753671646118,288
l2748781.1,0.005109185352921486,0.006189808715134859,288
l3086078.1,0.005090055521577597,0.005987085402011871,288
l3254237.1,0.005077520851045847,0.006160428281873465,288
l2823592.1,0.0050626471638679504,0.0059177931398153305,288
l2802481.1,0.005052904598414898,0.006034092046320438,288
l2823545.1,0.005044204648584127,0.006027061026543379,288
l2990098.1,0.005013760644942522,0.00600154884159565,288
l3065665.1,0.005007855594158173,0.00593499606475234,288
l3108449.1,0.004996157251298428,0.005913561675697565,288
l2785525.3,0.004995150491595268,0.00564183946698904,288
l2821087.1,0.004994971211999655,0.005968247074633837,288
l3234149.1,0.004980083554983139,0.005894689820706844,288
l3011229.1,0.004971317481249571,0.0058998484164476395,288
l3027122.1,0.004961885511875153,0.005884613376110792,288
l3232902.1,0.004956873599439859,0.005947663448750973,288
l2823544.1,0.004956783726811409,0.0058837709948420525,288
l2767342.1,0.004951897542923689,0.005821662954986095,288
l3027671.1,0.004936111159622669,0.005894405767321587,288
l3195321.1,0.0049296277575194836,0.005924529861658812,288
l2748780.1,0.004913271404802799,0.005855706054717302,288
l3214549.1,0.004911312833428383,0.005886204540729523,288
l3235946.1,0.004906550049781799,0.005838736426085234,288
l3104134.3,0.004905961453914642,0.0055453781969845295,288
l2859403.1,0.00489478325471282,0.005813688039779663,288
l3030204.1,0.004893649369478226,0.005701994523406029,288
l3254205.3,0.0048674121499061584,0.005542038939893246,288
l3198348.1,0.004867290612310171,0.005785652436316013,288
l3254220.3,0.004867216572165489,0.005425367504358292,288
l2991921.3,0.004863995127379894,0.005525682587176561,288
l2954352.3,0.0048560635186731815,0.005409230478107929,288
l3254215.3,0.004854103550314903,0.005495511926710606,288
l2933135.1,0.0048519643023610115,0.005952430889010429,288
l3216370.3,0.004848489072173834,0.005527293775230646,288
l2897775.3,0.004847121890634298,0.005490235053002834,288
l2841637.3,0.0048367599956691265,0.005523820407688618,288
l2766750.3,0.004836676642298698,0.005563061218708754,288
l2803199.1,0.004830879624933004,0.00575045682489872,288
l3233412.1,0.0048264735378324986,0.00575065053999424,288
l3197628.3,0.004818339366465807,0.005486308131366968,288
l2991912.1,0.004804674070328474,0.0056330859661102295,288
l3141400.1,0.004796097055077553,0.005609186366200447,288
293471.3,0.004793055355548859,0.005505235865712166,288
l3047289.1,0.004783343058079481,0.005701272748410702,288
l2879794.1,0.004781037103384733,0.005524724256247282,288
l2990826.1,0.004779089242219925,0.005739692132920027,288
l3122819.3,0.004776329733431339,0.005513202864676714,288
l2692660.1,0.004772820509970188,0.005640461575239897,288
l2766718.3,0.00476225046440959,0.005436467006802559,288
l2955047.1,0.004757089540362358,0.00571576040238142,288
l2917330.1,0.004753559827804565,0.00588018074631691,288
l2898457.1,0.004751060623675585,0.005656757391989231,288
l3160107.1,0.004744840785861015,0.005672147963196039,288
l2841629.3,0.004743469879031181,0.005414500832557678,288
l2954351.3,0.0047426591627299786,0.005429139826446772,288
l2673346.3,0.004735337570309639,0.0054359654895961285,288
l2973144.3,0.004735228605568409,0.00543799065053463,288
l3141399.3,0.00473296083509922,0.005435154307633638,288
l2860486.3,0.0047266664914786816,0.005568059626966715,288
l2936214.1,0.0047239018604159355,0.0056572952307760715,288
l2804956.1,0.00471498304978013,0.005656189285218716,288
l3215385.1,0.004709598142653704,0.005654055625200272,288
l2673309.3,0.004700681660324335,0.005422822665423155,288
l2936212.1,0.00469656428322196,0.005631990730762482,288
l2691951.3,0.004682381171733141,0.005395004991441965,288
l3067447.1,0.00468160305172205,0.005619694013148546,288
l2673316.1,0.004679444711655378,0.005597996525466442,288
l2991943.3,0.00467262277379632,0.005340666975826025,288
l3178997.3,0.004671774338930845,0.005354198161512613,288
l2841638.3,0.00467113358899951,0.005311113782227039,288
l2973791.1,0.004660876467823982,0.005599517375230789,288
l3048230.3,0.004653966519981623,0.0053583900444209576,288
l3104157.3,0.004653835669159889,0.005324286874383688,288
l2785518.3,0.004646931309252977,0.005275564268231392,288
l2897779.3,0.0046465760096907616,0.005331898108124733,288
l3214055.3,0.004645378794521093,0.005315427202731371,288
l2692661.1,0.004635549616068602,0.0054428246803581715,288
l2972704.3,0.00463278079405427,0.005297856871038675,288
l3010565.3,0.0046316273510456085,0.005254985298961401,288
l2748133.3,0.004631202667951584,0.005336972884833813,288
l3254219.3,0.004629436880350113,0.00538339139893651,288
l2916609.3,0.004626264795660973,0.005347471684217453,288
l2992657.1,0.004625860136002302,0.005452736280858517,288
l3029503.3,0.004610974341630936,0.005254880990833044,288
l3010569.1,0.004608896095305681,0.005244570784270763,288
l2785524.3,0.004606450907886028,0.005240635015070438,288
l2879055.3,0.0046059321612119675,0.005244055762887001,288
l2727795.3,0.004605392459779978,0.005248958244919777,288
l2841626.3,0.00460035540163517,0.005243463907390833,288
l2897776.3,0.004599114879965782,0.005271230824291706,288
l2954350.3,0.004597983788698912,0.005231461022049189,288
l3178977.3,0.0045975856482982635,0.005245373118668795,288
l2898522.1,0.00459635816514492,0.005416021682322025,288
l3085399.3,0.004594417288899422,0.005245707929134369,288
l2730187.1,0.004594116471707821,0.005546095781028271,288
l2724120.3,0.0045937905088067055,0.005278158001601696,288
l3216347.3,0.004591861739754677,0.005258394870907068,288
l2804261.3,0.004587197210639715,0.005253709852695465,288
l2841628.1,0.004585402086377144,0.005422569811344147,288
l3235266.3,0.004584556445479393,0.005256816744804382,288
l2992656.1,0.0045805699191987514,0.005535349249839783,288
l2785523.3,0.004577292129397392,0.0051946998573839664,288
l3066801.3,0.004576326347887516,0.005213545635342598,288
l3104128.1,0.004575107712298632,0.0054572275839746,288
l3626914.3,0.004574321676045656,0.005218897946178913,288
l3081380.1,0.004570364486426115,0.005418290849775076,288
l3067478.1,0.00456967344507575,0.005485333036631346,288
l2860487.3,0.004567781463265419,0.005216524936258793,288
l2786266.1,0.004567713942378759,0.005290703848004341,288
l3011293.1,0.004564750008285046,0.005310132168233395,288
l2691945.3,0.004561674315482378,0.005221109371632338,288
l3010567.3,0.004559239372611046,0.0052040074951946735,288
l2897778.1,0.0045574745163321495,0.005228146910667419,288
l2673315.1,0.00455641932785511,0.005451904144138098,288
l3010566.3,0.004552555736154318,0.005180942825973034,288
l2879073.3,0.004551319405436516,0.005184585694223642,288
l3195310.1,0.004545142408460379,0.005241229198873043,288
l3178980.3,0.0045447079464793205,0.005210343282669783,288
l3160105.3,0.004543079994618893,0.005196155048906803,288
l3197637.3,0.004542823415249586,0.0051901983097195625,288
l2879076.3,0.004542819689959288,0.00518165435642004,288
l3104126.3,0.004541561007499695,0.005173371639102697,288
l3254210.3,0.004537580534815788,0.005159728229045868,288
l2842383.1,0.004532895516604185,0.005356765817850828,288
l2955074.1,0.004530985374003649,0.005459348205476999,288
l2991911.3,0.004530790727585554,0.005174669437110424,288
l2935559.1,0.004530115053057671,0.005208389367908239,288
l2860490.1,0.004529363475739956,0.005284346640110016,288
l2692654.1,0.004528624005615711,0.00531365629285574,288
l3251799.1,0.004527163226157427,0.005384061951190233,288
l2691950.3,0.004524581134319305,0.005162857472896576,288
l3048214.1,0.004523850046098232,0.005192900542169809,288
l2766717.3,0.004522450268268585,0.005185678601264954,288
l2673321.1,0.004513684194535017,0.005191457457840443,288
l3048210.1,0.004511083941906691,0.005167701747268438,288
l2710510.3,0.0045100124552845955,0.005163189023733139,288
l2973158.3,0.004508434794843197,0.005135046783834696,288
l2860492.3,0.004507923033088446,0.005185605492442846,288
l2991906.1,0.0045062280260026455,0.005405587609857321,288
l3085402.1,0.004506133496761322,0.005221664439886808,288
l3104856.1,0.0045010121539235115,0.005342056974768639,288
l2841625.3,0.004497092217206955,0.005128722637891769,288
l3197645.1,0.004494711756706238,0.005177093204110861,288
l3254218.1,0.004493641667068005,0.005169527139514685,288
l2991922.1,0.0044898372143507,0.005175876431167126,288
l2804252.1,0.004482948686927557,0.005178819876164198,288
l3104131.1,0.004482105374336243,0.0051632593385875225,288
l2936271.1,0.004481183364987373,0.0053135850466787815,288
l2766721.1,0.00447922432795167,0.005363202653825283,288
l2954354.1,0.004473340697586536,0.0051119145937263966,288
l2766729.1,0.004472204018384218,0.005149508360773325,288
l2748129.1,0.004469843115657568,0.0051389047876000404,288
l3235251.3,0.004469397012144327,0.005114575382322073,288
l3141388.3,0.004469303414225578,0.005101419985294342,288
l2991920.1,0.0044640484265983105,0.005134503822773695,288
l2917359.1,0.004456590861082077,0.005298941861838102,288
